week,new_cases,total_cases,population,incidence_weekly,incidence_total,week_str,weekly_vaccinations,weekly_deaths,date,weekly_cases_per_100k,weekly_deaths_per_100k,weekly_vacc_per_100k,death_rate,cases_smooth,vacc_smooth,deaths_smooth
202148,2994,48611,420326,712.3,11565.07,202148,109072,174,2021-11-29,712.3042590750988,41.39643990616807,25949.38214623887,0.05811623246492986,1829.6666666666667,109072.0,174.0
202148,837,22949,176166,475.12,13026.92,202148,109072,174,2021-11-29,475.12005721875954,98.77047784476005,61914.330801630276,0.2078853046594982,1532.3333333333333,109072.0,174.0
202148,359,5365,43894,817.88,12222.63,202148,109072,174,2021-11-29,817.8794368250785,396.4095320544949,248489.54298993025,0.48467966573816157,1396.6666666666667,109072.0,174.0
202148,380,5224,38435,988.68,13591.78,202148,109072,174,2021-11-29,988.682190711591,452.7123715363601,283783.01027709123,0.45789473684210524,525.3333333333334,109072.0,174.0
202148,5121,75936,519245,986.24,14624.31,202148,109072,174,2021-11-29,986.2396363951507,33.51019268360793,21005.883542451058,0.03397773872290568,1953.3333333333333,109072.0,174.0
202148,661,8780,83995,786.95,10453.0,202148,109072,174,2021-11-29,786.9516042621585,207.15518780879813,129855.34853265075,0.2632375189107413,2054.0,109072.0,174.0
202148,1512,28603,280245,539.53,10206.43,202148,109072,174,2021-11-29,539.5279130760584,62.088529679387676,38920.2305125872,0.11507936507936507,2431.3333333333335,109072.0,174.0
202148,1834,23634,163689,1120.42,14438.36,202148,109072,174,2021-11-29,1120.4173768548894,106.29914044315746,66633.67727825328,0.09487459105779716,1335.6666666666667,109072.0,174.0
202148,3384,36485,285964,1183.37,12758.6,202148,109072,174,2021-11-29,1183.3657383446866,60.84681987942539,38141.864010854515,0.051418439716312055,2243.3333333333335,109072.0,174.0
202148,1106,39807,352181,314.04,11302.99,202148,109072,174,2021-11-29,314.04306308403915,49.406413179586636,30970.438496114217,0.15732368896925858,2108.0,109072.0,174.0
202148,315,5318,37047,850.27,14354.74,202148,109072,174,2021-11-29,850.2712770264799,469.6736577860555,294415.2023105785,0.5523809523809524,1601.6666666666667,109072.0,174.0
202148,5512,111681,822968,669.77,13570.52,202148,109072,174,2021-11-29,669.770878090035,21.142984903422732,13253.49223785129,0.031567489114658925,2311.0,109072.0,174.0
202148,2058,49632,353209,582.66,14051.74,202148,109072,174,2021-11-29,582.6578597940596,49.26261788346277,30880.30033209799,0.08454810495626822,2628.3333333333335,109072.0,174.0
202148,1002,14253,129787,772.03,10981.84,202148,109072,174,2021-11-29,772.0341790780278,134.0658155285198,84039.23351337192,0.17365269461077845,2857.3333333333335,109072.0,174.0
202148,10048,177620,1564662,642.18,11351.97,202148,109072,174,2021-11-29,642.1834236403773,11.120612630715133,6970.962418720465,0.01731687898089172,4369.333333333333,109072.0,174.0
202149,4673,79257,703086,664.64,11272.73,202149,124569,190,2021-12-06,664.6413098824326,27.023721137954674,17717.462728599345,0.04065910549967901,5241.0,114237.66666666667,179.33333333333334
202149,200,2787,16360,1222.49,17035.45,202149,124569,190,2021-12-06,1222.4938875305625,1161.3691931540343,761424.205378973,0.95,4973.666666666667,119403.33333333333,184.66666666666666
202149,608,8540,55585,1093.82,15363.86,202149,124569,190,2021-12-06,1093.8202752541154,341.818836016911,224105.4241252136,0.3125,1827.0,124569.0,190.0
202149,7308,115156,1047473,697.68,10993.7,202149,124569,190,2021-12-06,697.679080988245,18.13889236285804,11892.335172362438,0.025998905309250135,2705.3333333333335,124569.0,190.0
202149,2282,33073,292817,779.33,11294.77,202149,124569,190,2021-12-06,779.3263369271593,64.88694303950932,42541.58740783493,0.08326029798422437,3399.3333333333335,124569.0,190.0
202149,1404,23777,196036,716.19,12128.89,202149,124569,190,2021-12-06,716.1949845946663,96.92097369870841,63543.94090881267,0.13532763532763534,3664.6666666666665,124569.0,190.0
202149,357,5517,39055,914.1,14126.23,202149,124569,190,2021-12-06,914.0955063372168,486.4934067340929,318957.8799129433,0.5322128851540616,1347.6666666666667,124569.0,190.0
202149,2240,46129,329809,679.18,13986.58,202149,124569,190,2021-12-06,679.1809805068995,57.60910102513879,37770.04266105533,0.08482142857142858,1333.6666666666667,124569.0,190.0
202149,4624,89109,509448,907.65,17491.28,202149,124569,190,2021-12-06,907.6490632998855,37.29526860445031,24451.75955151458,0.041089965397923874,2407.0,124569.0,190.0
202149,348,5835,41190,844.87,14166.06,202149,124569,190,2021-12-06,844.8652585579024,461.2770089827628,302425.34595775674,0.5459770114942529,2404.0,124569.0,190.0
202149,1544,25544,201376,766.72,12684.73,202149,124569,190,2021-12-06,766.7249324646432,94.35086604163355,61858.910694422375,0.12305699481865284,2172.0,124569.0,190.0
